view,LA,LV,RA,file_name
AP4,True,False,False,patient0145_4CH_ED_LA.png
AP4,True,False,False,patient0485_4CH_ES_LA.png
AP4,True,False,False,patient0100_4CH_ED_LA.png
AP2,False,True,False,patient0134_2CH_ES_LV.png
AP4,False,True,False,patient0097_4CH_ED_LV.png
AP2,False,True,False,patient0017_2CH_ED_LV.png
AP2,False,True,False,patient0415_2CH_ED_LV.png
AP4,True,False,False,patient0492_4CH_ES_LA.png
AP4,False,True,False,patient0323_4CH_ES_LV.png
AP4,True,False,False,patient0460_4CH_ED_LA.png
AP4,False,True,False,patient0075_4CH_ES_LV.png
AP4,True,False,False,patient0031_4CH_ED_LA.png
AP4,True,False,False,patient0351_4CH_ES_LA.png
AP4,True,False,False,patient0007_4CH_ES_LA.png
AP2,True,False,False,patient0366_2CH_ES_LA.png
AP4,True,False,False,patient0462_4CH_ED_LA.png
AP2,False,True,False,patient0015_2CH_ES_LV.png
AP2,False,True,False,patient0072_2CH_ED_LV.png
AP4,False,True,False,patient0465_4CH_ED_LV.png
AP2,True,False,False,patient0059_2CH_ES_LA.png
AP2,True,False,False,patient0351_2CH_ES_LA.png
AP2,True,False,False,patient0407_2CH_ES_LA.png
AP2,False,True,False,patient0145_2CH_ES_LV.png
AP2,True,False,False,patient0075_2CH_ES_LA.png
AP4,False,True,False,patient0417_4CH_ED_LV.png
AP4,False,True,False,patient0368_4CH_ED_LV.png
AP4,False,True,False,patient0365_4CH_ES_LV.png
AP4,False,True,False,patient0471_4CH_ED_LV.png
AP2,False,True,False,patient0433_2CH_ED_LV.png
AP4,False,True,False,patient0479_4CH_ED_LV.png
AP2,True,False,False,patient0354_2CH_ES_LA.png
AP4,False,True,False,patient0048_4CH_ES_LV.png
AP2,False,True,False,patient0402_2CH_ED_LV.png
AP4,True,False,False,patient0050_4CH_ES_LA.png
AP2,True,False,False,patient0395_2CH_ED_LA.png
AP4,True,False,False,patient0433_4CH_ES_LA.png
AP4,False,True,False,patient0035_4CH_ES_LV.png
AP4,False,True,False,patient0090_4CH_ED_LV.png
AP4,False,True,False,patient0319_4CH_ED_LV.png
AP2,True,False,False,patient0066_2CH_ED_LA.png
AP2,False,True,False,patient0397_2CH_ED_LV.png
AP2,False,True,False,patient0106_2CH_ED_LV.png
AP2,False,True,False,patient0485_2CH_ES_LV.png
AP4,True,False,False,patient0454_4CH_ED_LA.png
AP4,False,True,False,patient0491_4CH_ED_LV.png
AP2,True,False,False,patient0421_2CH_ES_LA.png
AP4,True,False,False,patient0092_4CH_ED_LA.png
AP4,True,False,False,patient0041_4CH_ES_LA.png
AP2,True,False,False,patient0041_2CH_ES_LA.png
AP4,False,True,False,patient0375_4CH_ES_LV.png
AP2,True,False,False,patient0476_2CH_ED_LA.png
AP2,True,False,False,patient0137_2CH_ED_LA.png
AP2,False,True,False,patient0124_2CH_ES_LV.png
AP4,False,True,False,patient0428_4CH_ES_LV.png
AP2,False,True,False,patient0119_2CH_ED_LV.png
AP2,False,True,False,patient0013_2CH_ES_LV.png
AP2,False,True,False,patient0301_2CH_ES_LV.png
AP4,True,False,False,patient0426_4CH_ED_LA.png
AP2,True,False,False,patient0089_2CH_ED_LA.png
AP2,False,True,False,patient0354_2CH_ED_LV.png
AP2,False,True,False,patient0188_2CH_ES_LV.png
AP4,False,True,False,patient0450_4CH_ES_LV.png
AP4,False,True,False,patient0122_4CH_ED_LV.png
AP2,True,False,False,patient0115_2CH_ES_LA.png
AP2,True,False,False,patient0310_2CH_ES_LA.png
AP2,False,True,False,patient0408_2CH_ED_LV.png
AP2,False,True,False,patient0344_2CH_ED_LV.png
AP4,False,True,False,patient0203_4CH_ES_LV.png
AP2,False,True,False,patient0350_2CH_ES_LV.png
AP4,False,True,False,patient0277_4CH_ED_LV.png
AP2,False,True,False,patient0135_2CH_ES_LV.png
